"Step","train/box_loss","train/box_loss__MIN","train/box_loss__MAX"
"267","0.76432","0.76432","0.76432"
"268","0.77128","0.77128","0.77128"
"269","0.769","0.769","0.769"
"270","0.76052","0.76052","0.76052"
"271","0.76814","0.76814","0.76814"
"272","0.77558","0.77558","0.77558"
"273","0.7632","0.7632","0.7632"
"274","0.76007","0.76007","0.76007"
"275","0.7669","0.7669","0.7669"
"276","0.74855","0.74855","0.74855"
"277","0.75832","0.75832","0.75832"
"278","0.76731","0.76731","0.76731"
"279","0.78025","0.78025","0.78025"
"280","0.80362","0.80362","0.80362"
"281","0.77732","0.77732","0.77732"
"282","0.77516","0.77516","0.77516"
"283","0.73678","0.73678","0.73678"
"284","0.75948","0.75948","0.75948"
"285","0.79817","0.79817","0.79817"
"286","0.75019","0.75019","0.75019"
"287","0.74293","0.74293","0.74293"
"288","0.75063","0.75063","0.75063"
"289","0.74853","0.74853","0.74853"
"290","0.76383","0.76383","0.76383"
"291","0.73981","0.73981","0.73981"
"292","0.73151","0.73151","0.73151"
"293","0.75536","0.75536","0.75536"
"294","0.74452","0.74452","0.74452"
"295","0.76132","0.76132","0.76132"
"296","0.76468","0.76468","0.76468"
"297","0.72484","0.72484","0.72484"
"298","0.7634","0.7634","0.7634"
"299","0.75","0.75","0.75"
"300","0.76746","0.76746","0.76746"
"301","0.74781","0.74781","0.74781"
"302","0.72319","0.72319","0.72319"
"303","0.71288","0.71288","0.71288"
"304","0.73895","0.73895","0.73895"
"305","0.75945","0.75945","0.75945"
"306","0.74365","0.74365","0.74365"
"307","0.75305","0.75305","0.75305"
"308","0.73953","0.73953","0.73953"
"309","0.73555","0.73555","0.73555"
"310","0.72809","0.72809","0.72809"
"311","0.7463","0.7463","0.7463"
"312","0.73542","0.73542","0.73542"
"313","0.72045","0.72045","0.72045"
"314","0.73195","0.73195","0.73195"
"315","0.73406","0.73406","0.73406"
"316","0.73448","0.73448","0.73448"
"317","0.74594","0.74594","0.74594"
"318","0.73412","0.73412","0.73412"
"319","0.73416","0.73416","0.73416"
"320","0.7091","0.7091","0.7091"
"321","0.72712","0.72712","0.72712"
"322","0.70857","0.70857","0.70857"
"323","0.71888","0.71888","0.71888"
"324","0.69048","0.69048","0.69048"
"325","0.70989","0.70989","0.70989"
"326","0.70174","0.70174","0.70174"
"327","0.71752","0.71752","0.71752"
"328","0.74543","0.74543","0.74543"
"329","0.72844","0.72844","0.72844"
"330","0.71963","0.71963","0.71963"
"331","0.72445","0.72445","0.72445"
"332","0.73","0.73","0.73"
"333","0.72018","0.72018","0.72018"
"334","0.72338","0.72338","0.72338"
"335","0.70855","0.70855","0.70855"
"336","0.71178","0.71178","0.71178"
"337","0.69924","0.69924","0.69924"
"338","0.68652","0.68652","0.68652"
"339","0.71409","0.71409","0.71409"
"340","0.70406","0.70406","0.70406"
"341","0.70302","0.70302","0.70302"
"342","0.71037","0.71037","0.71037"
"343","0.70922","0.70922","0.70922"
"344","0.70939","0.70939","0.70939"
"345","0.70652","0.70652","0.70652"
"346","0.70332","0.70332","0.70332"
"347","0.69543","0.69543","0.69543"
"348","0.71226","0.71226","0.71226"
"349","0.67793","0.67793","0.67793"
"350","0.69551","0.69551","0.69551"
"351","0.70575","0.70575","0.70575"
"352","0.68577","0.68577","0.68577"
"353","0.68114","0.68114","0.68114"
"354","0.68868","0.68868","0.68868"
"355","0.70006","0.70006","0.70006"
"356","0.7106","0.7106","0.7106"
"357","0.69253","0.69253","0.69253"
"358","0.70505","0.70505","0.70505"
"359","0.69645","0.69645","0.69645"
"360","0.68552","0.68552","0.68552"
"361","0.70734","0.70734","0.70734"
