"Step","05072025_yolov11n_histEQ - train/box_loss","05072025_yolov11n_histEQ - train/box_loss__MIN","05072025_yolov11n_histEQ - train/box_loss__MAX","05072025_yolov11s_histEQ2 - train/box_loss","05072025_yolov11s_histEQ2 - train/box_loss__MIN","05072025_yolov11s_histEQ2 - train/box_loss__MAX","05072025_yolov11l_histEQ3 - train/box_loss","05072025_yolov11l_histEQ3 - train/box_loss__MIN","05072025_yolov11l_histEQ3 - train/box_loss__MAX","04072025_yolov11m_histEQ - train/box_loss","04072025_yolov11m_histEQ - train/box_loss__MIN","04072025_yolov11m_histEQ - train/box_loss__MAX"
"79","0.83251","0.83251","0.83251","0.99357","0.99357","0.99357","1.14585","1.14585","1.14585","1.04255","1.04255","1.04255"
"80","0.82795","0.82795","0.82795","0.97791","0.97791","0.97791","1.10414","1.10414","1.10414","1.04711","1.04711","1.04711"
"81","0.80011","0.80011","0.80011","0.97643","0.97643","0.97643","1.09739","1.09739","1.09739","1.03521","1.03521","1.03521"
"82","0.8026","0.8026","0.8026","0.97773","0.97773","0.97773","1.07965","1.07965","1.07965","1.02193","1.02193","1.02193"
"83","0.79423","0.79423","0.79423","0.96451","0.96451","0.96451","1.12217","1.12217","1.12217","1.08385","1.08385","1.08385"
"84","0.78973","0.78973","0.78973","0.95717","0.95717","0.95717","1.06844","1.06844","1.06844","1.03377","1.03377","1.03377"
"85","0.8011","0.8011","0.8011","0.94919","0.94919","0.94919","1.0706","1.0706","1.0706","1.06351","1.06351","1.06351"
"86","0.7808","0.7808","0.7808","0.98009","0.98009","0.98009","1.09826","1.09826","1.09826","1.00139","1.00139","1.00139"
"87","0.77229","0.77229","0.77229","0.93232","0.93232","0.93232","1.08972","1.08972","1.08972","1.01174","1.01174","1.01174"
"88","0.79396","0.79396","0.79396","0.96785","0.96785","0.96785","1.11365","1.11365","1.11365","1.04253","1.04253","1.04253"
"89","0.79196","0.79196","0.79196","0.95742","0.95742","0.95742","1.06309","1.06309","1.06309","1.00357","1.00357","1.00357"
"90","0.80099","0.80099","0.80099","0.96023","0.96023","0.96023","1.06433","1.06433","1.06433","0.99008","0.99008","0.99008"
"91","0.77134","0.77134","0.77134","0.95289","0.95289","0.95289","1.03032","1.03032","1.03032","1.03064","1.03064","1.03064"
"92","0.78458","0.78458","0.78458","0.9438","0.9438","0.9438","1.01284","1.01284","1.01284","1.05355","1.05355","1.05355"
"93","0.76182","0.76182","0.76182","0.91098","0.91098","0.91098","1.06017","1.06017","1.06017","0.98504","0.98504","0.98504"
"94","0.78123","0.78123","0.78123","0.93492","0.93492","0.93492","1.00526","1.00526","1.00526","1.01564","1.01564","1.01564"
"95","0.78862","0.78862","0.78862","0.90118","0.90118","0.90118","1.01126","1.01126","1.01126","1.00161","1.00161","1.00161"
"96","0.80346","0.80346","0.80346","0.93471","0.93471","0.93471","1.03406","1.03406","1.03406","1.0089","1.0089","1.0089"
"97","0.81073","0.81073","0.81073","0.92831","0.92831","0.92831","1.05778","1.05778","1.05778","1.00272","1.00272","1.00272"
"98","0.77494","0.77494","0.77494","0.89651","0.89651","0.89651","1.03801","1.03801","1.03801","1.02325","1.02325","1.02325"
"99","0.7492","0.7492","0.7492","0.92591","0.92591","0.92591","1.0607","1.0607","1.0607","0.99026","0.99026","0.99026"
"100","0.78169","0.78169","0.78169","0.951","0.951","0.951","1.0122","1.0122","1.0122","0.97049","0.97049","0.97049"
"101","0.77488","0.77488","0.77488","0.94075","0.94075","0.94075","1.00566","1.00566","1.00566","0.97035","0.97035","0.97035"
"102","0.76211","0.76211","0.76211","0.90005","0.90005","0.90005","0.99102","0.99102","0.99102","0.97817","0.97817","0.97817"
"103","0.76032","0.76032","0.76032","0.91171","0.91171","0.91171","1.02107","1.02107","1.02107","0.96671","0.96671","0.96671"
"104","0.76491","0.76491","0.76491","0.88269","0.88269","0.88269","1.01543","1.01543","1.01543","0.99639","0.99639","0.99639"
"105","0.75028","0.75028","0.75028","0.89075","0.89075","0.89075","1.02551","1.02551","1.02551","1.0211","1.0211","1.0211"
"106","0.76136","0.76136","0.76136","0.8831","0.8831","0.8831","0.97287","0.97287","0.97287","1.00856","1.00856","1.00856"
"107","0.75972","0.75972","0.75972","0.90951","0.90951","0.90951","1.02665","1.02665","1.02665","0.9798","0.9798","0.9798"
"108","0.77962","0.77962","0.77962","0.90122","0.90122","0.90122","1.02826","1.02826","1.02826","0.95099","0.95099","0.95099"
"109","0.80911","0.80911","0.80911","0.9289","0.9289","0.9289","1.06135","1.06135","1.06135","0.97324","0.97324","0.97324"
"110","0.76849","0.76849","0.76849","0.87025","0.87025","0.87025","0.98332","0.98332","0.98332","0.9722","0.9722","0.9722"
"111","0.77272","0.77272","0.77272","0.87459","0.87459","0.87459","1.02006","1.02006","1.02006","0.98413","0.98413","0.98413"
"112","0.75163","0.75163","0.75163","0.8861","0.8861","0.8861","0.9727","0.9727","0.9727","0.97049","0.97049","0.97049"
