"Step","train/dfl_loss","train/dfl_loss__MIN","train/dfl_loss__MAX"
"218","1.48229","1.48229","1.48229"
"219","1.44276","1.44276","1.44276"
"220","1.46184","1.46184","1.46184"
"221","1.45562","1.45562","1.45562"
"222","1.42792","1.42792","1.42792"
"223","1.44641","1.44641","1.44641"
"224","1.42809","1.42809","1.42809"
"225","1.40879","1.40879","1.40879"
"226","1.43695","1.43695","1.43695"
"227","1.43267","1.43267","1.43267"
"228","1.41126","1.41126","1.41126"
"229","1.43058","1.43058","1.43058"
"230","1.38675","1.38675","1.38675"
"231","1.40881","1.40881","1.40881"
"232","1.46687","1.46687","1.46687"
"233","1.41738","1.41738","1.41738"
"234","1.43111","1.43111","1.43111"
"235","1.39156","1.39156","1.39156"
"236","1.41796","1.41796","1.41796"
"237","1.43496","1.43496","1.43496"
"238","1.43358","1.43358","1.43358"
"239","1.41177","1.41177","1.41177"
"240","1.42595","1.42595","1.42595"
"241","1.40207","1.40207","1.40207"
"242","1.4228","1.4228","1.4228"
"243","1.40463","1.40463","1.40463"
"244","1.43109","1.43109","1.43109"
"245","1.40867","1.40867","1.40867"
"246","1.40786","1.40786","1.40786"
"247","1.39629","1.39629","1.39629"
"248","1.4353","1.4353","1.4353"
"249","1.42373","1.42373","1.42373"
"250","1.41105","1.41105","1.41105"
"251","1.42045","1.42045","1.42045"
"252","1.4251","1.4251","1.4251"
"253","1.43197","1.43197","1.43197"
"254","1.41669","1.41669","1.41669"
"255","1.41545","1.41545","1.41545"
"256","1.40112","1.40112","1.40112"
"257","1.39622","1.39622","1.39622"
"258","1.41569","1.41569","1.41569"
"259","1.39022","1.39022","1.39022"
"260","1.36972","1.36972","1.36972"
"261","1.38663","1.38663","1.38663"
"262","1.40105","1.40105","1.40105"
"263","1.39861","1.39861","1.39861"
"264","1.38818","1.38818","1.38818"
"265","1.41378","1.41378","1.41378"
"266","1.39055","1.39055","1.39055"
"267","1.39171","1.39171","1.39171"
"268","1.38963","1.38963","1.38963"
"269","1.42613","1.42613","1.42613"
"270","1.37818","1.37818","1.37818"
"271","1.38229","1.38229","1.38229"
"272","1.40572","1.40572","1.40572"
"273","1.38322","1.38322","1.38322"
"274","1.40594","1.40594","1.40594"
"275","1.40495","1.40495","1.40495"
"276","1.3708","1.3708","1.3708"
"277","1.39156","1.39156","1.39156"
"278","1.39365","1.39365","1.39365"
"279","1.39509","1.39509","1.39509"
"280","1.41787","1.41787","1.41787"
"281","1.4067","1.4067","1.4067"
"282","1.40023","1.40023","1.40023"
"283","1.36666","1.36666","1.36666"
"284","1.38216","1.38216","1.38216"
"285","1.40008","1.40008","1.40008"
"286","1.39361","1.39361","1.39361"
"287","1.35432","1.35432","1.35432"
"288","1.40586","1.40586","1.40586"
